time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_main_phase,count_schools,total_school_places,total_school_pupils_on_roll,SEND_unit_capacity,resourced_provision_capacity,primary_SEND_unit_capacity,primary_resourced_provision_capacity,secondary_SEND_unit_capacity,secondary_resourced_provision_capacity
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Total,8,5695,5519,44,131,28,45,16,86
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Primary,5,1575,1417,28,45,28,45,0,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Secondary,3,4120,4102,16,86,0,0,16,86
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Total,9,8782,7783,0,95,0,40,0,55
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Primary,5,1678,1385,0,40,0,40,0,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Secondary,4,7104,6398,0,55,0,0,0,55
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Total,25,17416,17277,0,355,0,238,0,117
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Primary,17,6337,5942,0,238,0,238,0,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Secondary,8,11079,11335,0,117,0,0,0,117
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Total,32,24533,23128,0,553,0,308,0,245
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Primary,21,8205,7649,0,308,0,308,0,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Secondary,11,16328,15479,0,245,0,0,0,245
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Total,7,2647,1992,40,40,40,30,0,10
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Primary,6,1447,1084,40,30,40,30,0,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Secondary,1,1200,908,0,10,0,0,0,10
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Total,8,6515,6236,148,0,40,0,108,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Primary,3,1120,1092,40,0,40,0,0,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Secondary,5,5395,5144,108,0,0,0,108,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Total,19,18478,16189,0,236,0,128,0,108
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Primary,9,4038,3683,0,122,0,122,0,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Secondary,10,14440,12506,0,114,0,6,0,108
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Total,11,9005,8207,0,196,0,93,0,103
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Primary,5,1470,1393,0,93,0,93,0,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Secondary,6,7535,6814,0,103,0,0,0,103
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Total,13,12652,9543,18,142,0,42,18,100
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Primary,5,1989,1793,0,42,0,42,0,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Secondary,8,10663,7750,18,100,0,0,18,100
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Total,3,735,637,36,0,36,0,0,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Primary,3,735,637,36,0,36,0,0,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E06000065,North Yorkshire,Total,10,5974,4232,16,64,0,40,16,24
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E06000065,North Yorkshire,Primary,5,1452,1141,0,40,0,40,0,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E06000065,North Yorkshire,Secondary,5,4522,3091,16,24,0,0,16,24
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Total,4,3684,3466,0,56,0,36,0,20
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Primary,2,617,536,0,36,0,36,0,0
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Secondary,2,3067,2930,0,20,0,0,0,20
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Total,87,58150,53700,1459,107,892,18,567,89
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Primary,57,20982,18955,892,18,892,18,0,0
202223,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,Secondary,30,37168,34745,567,89,0,0,567,89
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Total,18,9927,8926,262,0,109,0,153,0
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Primary,11,3026,2432,109,0,109,0,0,0
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Secondary,7,6901,6494,153,0,0,0,153,0
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Total,25,16609,14813,490,0,293,0,197,0
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Primary,17,5976,5380,293,0,293,0,0,0
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Secondary,8,10633,9433,197,0,0,0,197,0
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Total,16,10243,9802,230,0,145,0,85,0
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Primary,12,4943,4657,145,0,145,0,0,0
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Secondary,4,5300,5145,85,0,0,0,85,0
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Total,3,2310,2216,20,35,20,0,0,35
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Primary,1,315,244,20,0,20,0,0,0
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Secondary,2,1995,1972,0,35,0,0,0,35
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Total,6,5770,5447,0,72,0,18,0,54
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Primary,2,840,838,0,18,0,18,0,0
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Secondary,4,4930,4609,0,54,0,0,0,54
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Total,7,4834,4666,199,0,108,0,91,0
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Primary,5,2282,2283,108,0,108,0,0,0
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Secondary,2,2552,2383,91,0,0,0,91,0
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Total,12,8457,7830,258,0,217,0,41,0
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Primary,9,3600,3121,217,0,217,0,0,0
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Secondary,3,4857,4709,41,0,0,0,41,0
202223,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Total,141,91805,82757,356,1600,271,944,85,656
202223,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Primary,96,37719,35813,278,931,271,924,7,7
202223,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,Secondary,45,54086,46944,78,669,0,20,78,649
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Total,43,30298,28661,0,655,0,370,0,285
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Primary,29,12833,12618,0,358,0,358,0,0
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Secondary,14,17465,16043,0,297,0,12,0,285
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Total,7,4931,4905,0,84,0,72,0,12
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Primary,5,2205,2088,0,72,0,72,0,0
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Secondary,2,2726,2817,0,12,0,0,0,12
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Total,7,3915,3543,32,66,32,44,0,22
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Primary,5,1655,1523,32,44,32,44,0,0
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Secondary,2,2260,2020,0,22,0,0,0,22
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Total,14,8216,7933,20,167,20,97,0,70
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Primary,11,4717,4507,20,97,20,97,0,0
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Secondary,3,3499,3426,0,70,0,0,0,70
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Total,5,3434,3687,0,116,0,36,0,80
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Primary,3,1048,1061,0,36,0,36,0,0
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Secondary,2,2386,2626,0,80,0,0,0,80
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Total,9,6006,5711,0,98,0,67,0,31
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Primary,6,2100,2034,0,67,0,67,0,0
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Secondary,3,3906,3677,0,31,0,0,0,31
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Total,9,4907,4474,16,124,16,86,0,38
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Primary,6,1730,1684,16,86,16,86,0,0
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Secondary,3,3177,2790,0,38,0,0,0,38
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Total,7,5732,4110,20,41,20,16,0,25
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Primary,3,1050,968,20,16,20,16,0,0
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Secondary,4,4682,3142,0,25,0,0,0,25
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Total,4,1896,1907,65,12,65,12,0,0
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Primary,4,1896,1907,65,12,65,12,0,0
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Total,2,1385,1316,40,0,32,0,8,0
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Primary,1,210,266,32,0,32,0,0,0
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Secondary,1,1175,1050,8,0,0,0,8,0
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Total,18,12931,10308,147,97,70,32,77,65
