time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_main_phase,count_schools,school_places,pupils_on_roll,at_or_over_capacity_schools,percent_at_or_over_capacity_schools,pupils_over_capacity,percent_pupils_over_capacity,under_capacity_schools,percent_under_capacity_schools,unfilled_places,percent_unfilled_places
202223,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Secondary,19,21306,19734,6,31.57894737,267,1.253168,13,68.42105263,1839,8.631371
202223,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Total,119,48704,45884,36,30.25210084,397,0.815128,83,69.74789916,3217,6.605207
202223,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Primary,100,27446,26213,33,33,335,1.220579,67,67,1568,5.713037
202223,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Secondary,19,21258,19671,3,15.78947368,62,0.291655,16,84.21052632,1649,7.75708
202223,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Total,57,21662,18172,5,8.771929825,31,0.143108,52,91.22807018,3521,16.25427
202223,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Primary,49,11791,10059,5,10.20408163,31,0.262912,44,89.79591837,1763,14.952082
202223,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Secondary,8,9871,8113,0,0,0,0,8,100,1758,17.809746
202223,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Total,82,33986,31985,27,32.92682927,463,1.362326,55,67.07317073,2464,7.250044
202223,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Primary,69,18923,18011,23,33.33333333,239,1.263013,46,66.66666667,1151,6.082545
202223,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Secondary,13,15063,13974,4,30.76923077,224,1.487088,9,69.23076923,1313,8.716723
202223,Academic year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Total,564,185440,169616,128,22.69503546,1044,0.562985,436,77.30496454,16868,9.096204
202223,Academic year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Primary,482,106008,97636,108,22.406639,605,0.570712,374,77.593361,8977,8.468229
202223,Academic year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Secondary,82,79432,71980,20,24.3902439,439,0.552674,62,75.6097561,7891,9.934283
202223,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Total,67,29595,26927,14,20.89552239,181,0.61159,53,79.10447761,2849,9.626626
202223,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Primary,55,16473,14795,10,18.18181818,30,0.182116,45,81.81818182,1708,10.368482
202223,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Secondary,12,13122,12132,4,33.33333333,151,1.150739,8,66.66666667,1141,8.695321
202223,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Total,39,21273,18591,4,10.25641026,28,0.131622,35,89.74358974,2710,12.739153
202223,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Primary,31,12251,11061,4,12.90322581,28,0.228553,27,87.09677419,1218,9.942046
202223,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Secondary,8,9022,7530,0,0,0,0,8,100,1492,16.537353
202223,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Total,147,59048,54804,43,29.25170068,730,1.236282,104,70.74829932,4974,8.423655
