time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,education_phase,count_schools,count_schools_with_primary_and_secondary_capacity,school_places,pupils_on_roll,primary_capacity,secondary_capacity,primary_pupils_on_roll,secondary_pupils_on_roll
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Total,3,3,293,429,171,122,175,254
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Secondary,3,3,293,429,171,122,175,254
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Total,2,2,318,353,100,218,171,182
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Secondary,2,2,318,353,100,218,171,182
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Total,2,0,318,343,162,156,187,156
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Primary,1,0,162,187,162,0,187,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Secondary,1,0,156,156,0,156,0,156
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E06000065,North Yorkshire,Total,11,11,1231,1341,430,801,472,869
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E06000065,North Yorkshire,Secondary,11,11,1231,1341,430,801,472,869
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Total,2,0,313,333,116,197,117,216
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Primary,1,0,116,117,116,0,117,0
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Secondary,1,0,197,216,0,197,0,216
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Total,10,10,1150,1245,454,696,497,748
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Secondary,10,10,1150,1245,454,696,497,748
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Total,7,2,694,985,191,503,221,764
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Primary,1,0,111,147,111,0,147,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Secondary,6,2,583,838,80,503,74,764
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Total,8,7,1713,1815,629,1084,661,1154
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Secondary,8,7,1713,1815,629,1084,661,1154
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Total,7,6,1321,1313,473,848,465,848
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Primary,1,0,135,129,135,0,129,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Secondary,6,6,1186,1184,338,848,336,848
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Total,12,10,1323,1346,440,883,460,886
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Primary,1,0,55,56,55,0,56,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Secondary,11,10,1268,1290,385,883,404,886
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Total,6,6,640,720,238,402,197,523
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Secondary,6,6,640,720,238,402,197,523
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Total,17,11,2092,2253,791,1301,864,1389
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Primary,3,0,270,297,270,0,297,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Secondary,14,11,1822,1956,521,1301,567,1389
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Total,8,2,1340,1266,586,754,518,748
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Primary,2,0,460,426,460,0,426,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Secondary,6,2,880,840,126,754,92,748
