time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,education_phase,pupil_forecast_and_202324_actuals
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Total,z
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Total,z
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Total,z
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Total,z
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Total,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Total,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Total,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Total,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Total,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Total,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Total,z
